left_lat,left_long,left_elev,right_lat,right_long,right_elev
58.39960991579072,24.44921943284964,3,58.39949758126379,24.44898509316488,3
58.39960183438713,24.449218505052844,3,58.39948923491436,24.448982218708508,3
58.39959376160737,24.44921759263562,3,58.39948087342864,24.44897950604368,3
58.39958570499023,24.449216575973814,3,58.39947249373564,24.448976987813648,3
58.399577670354304,24.44921535408011,4,58.39946409733067,24.448974649783185,3
58.399569659750426,24.44921386678451,4,58.39945568786457,24.44897245558966,3
58.39956167473043,24.449212059323436,4,58.39944726900088,24.448970368739783,3
58.39955371684611,24.449209876933303,4,58.39943884440313,24.448968352740224,3
58.39954578710422,24.44920727141517,4,58.39943041773487,24.448966371097704,3
58.39953787812561,24.449204295568407,4,58.39942199265966,24.448964387318902,3
58.39952997595584,24.449201081383773,4,58.39941357284104,24.448962364910543,3
58.39952206646856,24.44919776293935,4,58.39940516105683,24.448960275769263,3
58.39951413921425,24.449194444774847,4,58.39939675668384,24.44895812400792,3
58.39950619411242,24.449191148125347,4,58.39938835828261,24.448955921470848,3
58.39949823289757,24.449187879645752,4,58.39937996441371,24.4489536800024,3
58.39949025730414,24.449184645990957,4,58.399371573637694,24.44895141144692,3
58.39948226906659,24.44918145381587,4,58.39936318451512,24.44894912764875,3
58.39947426991935,24.449178309775405,4,58.39935479560655,24.44894684045224,3
58.3994662615969,24.44917522052445,4,58.39934640547254,24.448944561701737,3
58.399458245833685,24.449172192717917,4,58.39933801267367,24.44894230324158,3
58.39945022436415,24.44916923301069,4,58.399329615770434,24.44894007691612,3
58.39944219892278,24.449166348057688,4,58.39932121332348,24.44893789456972,3
58.399434171244025,24.449163544513805,4,58.399312803893245,24.44893576804669,3
58.39942614306234,24.44916082903396,4,58.39930438604035,24.44893370919141,4
58.39941811611219,24.449158208273023,4,58.39929595832534,24.44893172984821,4
58.39941009212807,24.449155688885945,4,58.39928751930874,24.44892984186144,4
58.39940207284428,24.44915327752709,4,58.399279067627695,24.448928057250352,4
58.39939405928297,24.44915097804064,4,58.39927060387736,24.448926392506333,4
58.39938605007927,24.449148784852188,4,58.399262130726896,24.44892486885769,4
58.3993780433688,24.449146690416445,4,58.39925365094525,24.448923507760668,4
58.39937003728721,24.44914468718809,4,58.39924516730136,24.448922330671497,4
58.39936202997013,24.44914276762184,4,58.39923668256421,24.44892135904642,4
58.39935401955316,24.44914092417236,4,58.39922819950273,24.44892061434167,4
58.39934600417194,24.44913914929437,4,58.39921972088587,24.448920118013483,4
58.399337981962105,24.44913743544256,4,58.39921124948261,24.44891989151809,4
58.39932995105925,24.449135775071632,4,58.39920278806191,24.44891995631174,4
58.399321909599024,24.44913416063627,4,58.39919433939274,24.448920333850676,4
58.39931385571703,24.44913258459118,4,58.399185906244064,24.448921045591117,4
58.39930578754889,24.449131039391045,4,58.399177491384826,24.44892211298929,4
58.39929770323022,24.449129517490576,4,58.399169097584064,24.448923557501463,4
58.39928960089663,24.44912801134446,4,58.39916072761071,24.44892540058385,4
58.39928147868372,24.449126513407403,4,58.39915238423374,24.4489276636927,4
58.39927333472711,24.44912501613408,4,58.39914407015051,24.448930362961217,4
58.399265167946304,24.449123516739967,4,58.39913578771799,24.448933489228416,4
58.39925698233108,24.44912204323436,4,58.39912753919211,24.44893702582804,4
58.3992487838888,24.4491206358797,4,58.399119326828846,24.448940956092617,4
58.39924057863194,24.449119334969893,4,58.39911115288411,24.44894526335469,4
58.399232372573074,24.44911818079881,4,58.39910301961387,24.44894993094679,4
58.39922417172472,24.44911721366034,4,58.39909492927406,24.448954942201453,4
58.39921598209936,24.449116473848356,4,58.39908688412062,24.44896028045121,4
58.399207809709615,24.449116001656737,4,58.39907888640955,24.448965929028617,4
58.39919966056798,24.44911583737937,4,58.39907093839675,24.4489718712662,4
58.39919154068704,24.449116021310147,4,58.3990630423382,24.448978090496485,4
58.3991834560793,24.44911659374293,4,58.39905520048985,24.44898457005202,4
58.399175412757366,24.449117594971607,4,58.39904741510767,24.448991293265344,4
58.39916741673379,24.449119065290063,4,58.3990396884476,24.448998243468985,4
58.399159474021154,24.449121044992182,4,58.39903202276562,24.44900540399548,4
58.39915159063203,24.449123574371843,4,58.39902442027592,24.449012758315217,4
58.39914377195828,24.449126687767254,4,58.399016881641614,24.44902029501404,4
58.399136018564135,24.44913037319575,4,58.3990094055527,24.44902800918582,4
58.39912832875228,24.44913459697609,4,58.39900199057136,24.44903589634582,4
