,left_long,left_lat,right_long,right_lat
824,24.446910761426402,58.40131066535398,24.446684766792984,58.401281171891405
825,24.44692149761675,58.40130480012547,24.446696040617073,58.40127508227853
826,24.44693223520063,58.40129893556942,24.446707320479874,58.40126899548614
827,24.446942974234172,58.401293071716296,24.446718605156118,58.401262910926185
828,24.446953714773517,58.40128720859657,24.446729893420514,58.40125682801054
829,24.44696445687482,58.401281346240715,24.446741184047784,58.40125074615112
830,24.446975200594196,58.401275484679175,24.446752475812662,58.40124466475985
831,24.446985945987812,58.40126962394249,24.446763767489863,58.40123858324862
832,24.446996693111792,58.40126376406106,24.446775057854108,58.40123250102936
833,24.447007442022286,58.4012579050654,24.446786345680113,58.40122641751396
834,24.447018192775417,58.401252046985945,24.44679762974261,58.40122033211434
835,24.447028945427355,58.40124618985321,24.446808908816312,58.4012142442424
836,24.447039700034214,58.40124033369762,24.446820181675943,58.40120815331005
837,24.447050456652143,58.40123447854968,24.446831447096233,58.40120205872921
838,24.447061215337296,58.40122862443985,24.446842703851882,58.40119595991176
839,24.447071976145782,58.401222771398594,24.446853950718076,58.40118985626984
840,24.44708273913378,58.4012169194564,24.446865186912415,58.401183747430224
841,24.447093504357394,58.40121106864372,24.4468764129261,58.4011776336377
842,24.447104271872792,58.40120521899105,24.44688762947815,58.401171515247576
843,24.447115041736105,58.40119937052884,24.44689883728757,58.40116539261512
844,24.447125814003467,58.40119352328757,24.44691003707334,58.40115926609562
845,24.447136588731027,58.40118767729773,24.44692122955448,58.40115313604441
846,24.44714736597492,58.401181832589735,24.446932415449982,58.40114700281675
847,24.447158145791292,58.401175989194115,24.44694359547886,58.40114086676795
848,24.44716892823628,58.40117014714133,24.446954770360097,58.40113472825328
849,24.44717971336602,58.401164306461816,24.44696594081271,58.401128587628065
850,24.447190501236662,58.401158467186086,24.44697710755569,58.40112244524761
851,24.447201291904342,58.40115262934458,24.44698827130805,58.40111630146716
852,24.4472120854252,58.40114679296781,24.446999432788786,58.401110156642055
853,24.44722288185538,58.40114095808621,24.447010592716893,58.40110401112757
854,24.447233681251017,58.40113512473027,24.44702175181138,58.40109786527903
855,24.44724448366825,58.40112929293044,24.44703291079124,58.40109171945169
856,24.447255289163227,58.401123462717216,24.447044070375487,58.40108557400086
857,24.44726609779208,58.401117634121064,24.447055231283123,58.401079429281864
858,24.447276909610963,58.40111180717246,24.44706639423313,58.401073285649964
859,24.447287724676002,58.40110598190186,24.447077559944532,58.401067143460494
860,24.44729854304334,58.40110015833973,24.447088729136322,58.40106100306872
861,24.447309364769133,58.4010943365166,24.44709990252749,58.401054864829945
862,24.4473201899095,58.40108851646286,24.447111080837054,58.40104872909948
863,24.4473310185206,58.40108269820905,24.44712226478401,58.401042596232614
864,24.44734185065855,58.40107688178559,24.447133455087357,58.40103646658466
865,24.44735268637951,58.40107106722297,24.447144652466097,58.40103034051091
866,24.447363525739615,58.40106525455168,24.447155857639242,58.401024218366636
867,24.447374368795018,58.401059443802176,24.447167071325772,58.40101810050718
868,24.44738521560183,58.40105363500493,24.447178294244708,58.40101198728781
869,24.447396066216214,58.40104782819042,24.447189527115043,58.40100587906385
870,24.44740692069429,58.40104202338909,24.44720077065577,58.400999776190595
871,24.44741777905607,58.40103622061228,24.447212025356528,58.400993678909195
872,24.447428641208287,58.40103041981119,24.447223290892083,58.400987587055525
873,24.44743950703552,58.40102462092527,24.4472345667562,58.40098150037527
874,24.44745037642232,58.401018823894,24.447245852442737,58.40097541861427
875,24.447461249253294,58.40101302865684,24.447257147445487,58.40096934151829
876,24.447472125413,58.40100723515324,24.447268451258257,58.4009632688331
877,24.447483004786022,58.40100144332268,24.447279763374855,58.40095720030445
878,24.44749388725693,58.40099565310459,24.447291083289105,58.40095113567816
879,24.447504772710285,58.400989864438465,24.447302410494817,58.4009450747
880,24.447515661030696,58.40098407726377,24.44731374448579,58.40093901711571
881,24.44752655210272,58.400978291519955,24.447325084755843,58.40093296267111
882,24.447537445810926,58.40097250714648,24.4473364307988,58.40092691111194
883,24.44754834203989,58.4009667240828,24.44734778210846,58.400920862184
884,24.44755924067419,58.40096094226839,24.44735913817863,58.400914815633065
885,24.44757014159842,58.40095516164271,24.447370498503133,58.400908771204904
886,24.44758104469713,58.40094938214523,24.447381862575774,58.40090272864529
887,24.447591949854907,58.40094360371539,24.447393229890363,58.40089668769999
888,24.44760285695633,58.40093782629267,24.447404599940715,58.400890648114796
889,24.44761376588597,58.40093204981653,24.447415972220643,58.40088460963547
890,24.44762467652839,58.40092627422642,24.447427346223957,58.400878572007805
891,24.447635588768186,58.40092049946182,24.44743872144446,58.40087253497754
892,24.44764650248991,58.40091472546218,24.447450097375977,58.400866498290476
893,24.447657417578174,58.40090895216698,24.447461473512313,58.400860461692396
894,24.447668333917512,58.400903179515645,24.44747284934729,58.40085442492905
895,24.447679251392525,58.40089740744766,24.447484224374694,58.400848387746215
896,24.447690169887778,58.40089163590249,24.447495598088363,58.40084234988968
897,24.44770108928785,58.40088586481958,24.447506969982097,58.40083631110521
898,24.447712009477325,58.400880094138415,24.447518339549706,58.40083027113857
899,24.447722930340767,58.40087432379845,24.44752970628501,58.40082422973554
900,24.44773385176275,58.400868553739116,24.447541069681805,58.40081818664189
901,24.447744773627857,58.40086278389992,24.447552429233923,58.40081214160341
902,24.447755695820653,58.40085701422029,24.447563784528267,58.400806094412616
903,24.447766618225724,58.40085124463972,24.44757513556143,58.40080004506789
