left_lat,left_long,left_elev,right_lat,right_long,right_elev
47.22025974496194,14.766747301370756,680.6979,47.22036170792106,14.766704970464476,681.14514
47.22025679322762,14.76673141969008,680.7499,47.220358818861015,14.766689359382749,681.17236
47.22025383963082,14.766715538819378,680.7499,47.220355930277535,14.76667374810825,681.21515
47.22025088425407,14.766699658723006,680.8006,47.22035304214192,14.766658136652572,681.21515
47.220247927179855,14.766683779365303,680.7513,47.22035015442542,14.766642525027292,681.25464
47.220244968490654,14.76666790071062,680.7988,47.220347267099314,14.766626913244007,681.2872
47.220242008268976,14.766652022723292,680.8434,47.22034438013485,14.766611301314295,681.3129
47.220239046597285,14.76663614536768,680.8819,47.22034149350329,14.766595689249746,681.32007
47.2202360835581,14.766620268608111,680.9142,47.220338607175925,14.766580077061938,681.3356
47.22023311923389,14.766604392408956,680.9142,47.220335721124,14.766564464762451,681.345
47.22023015370716,14.766588516734542,680.8289,47.22033283531877,14.766548852362895,681.345
47.2202271870604,14.766572641549224,680.84717,47.22032994973153,14.76653323987483,681.3484
47.22022421937611,14.766556766817349,680.8592,47.22032706433351,14.766517627309852,681.3462
47.22022125073676,14.766540892503256,680.86505,47.220324179096,14.766502014679544,681.3386
47.22021828122484,14.766525018571295,680.8644,47.220321293990246,14.766486401995486,681.2982
47.22021531092288,14.766509144985818,680.85724,47.22031840898752,14.766470789269274,681.2795
47.22021233991334,14.766493271711164,680.7337,47.220315524059096,14.766455176512489,681.2795
47.22020936827871,14.766477398711684,680.7196,47.22031263917621,14.766439563736707,681.255
47.22020639610149,14.766461525951714,680.6992,47.22030975431017,14.766423950953529,681.2253
47.22020342346418,14.766445653395616,680.6723,47.22030686943221,14.766408338174529,681.19025
47.22020045044926,14.766429781007725,680.63873,47.22030398451359,14.76639272541129,681.0871
47.2201974771392,14.766413908752387,680.59845,47.2203010995256,14.766377112675404,681.0375
47.22019450361653,14.766398036593955,680.5514,47.220298214439495,14.766361499978464,681.0375
47.220191529963735,14.766382164496768,680.4259,47.22029532922652,14.766345887332038,680.9827
47.22018855626329,14.766366292425182,680.3751,47.22029244385794,14.766330274747718,680.9235
47.22018558259769,14.766350420343532,680.31934,47.220289558305055,14.766314662237086,680.8608
47.22018260904944,14.766334548216172,680.2595,47.220286672539096,14.766299049811742,680.6852
47.22017963570103,14.766318676007453,680.1965,47.22028378653134,14.766283437483253,680.612
47.22017666263493,14.7663028036817,680.131,47.22028090025306,14.766267825263215,680.5375
47.22017368993365,14.766286931203284,679.96436,47.2202780136755,14.766252213163208,680.5375
47.220170717679686,14.766271058536532,679.96436,47.22027512676994,14.76623660119482,680.4625
47.22016774595552,14.766255185645804,679.9027,47.22027223950764,14.766220989369629,680.38794
47.220164774843646,14.766239312495443,679.84106,47.22026935185984,14.766205377699228,680.3148
47.22016180442655,14.766223439049789,679.78015,47.220266463797856,14.766189766195204,680.1105
47.22015883478674,14.766207565273197,679.72064,47.22026357529292,14.76617415486914,680.0408
47.22015586600667,14.766191691130006,679.60034,47.22026068631629,14.766158543732615,680.0408
47.220152898168905,14.76617581658457,679.5518,47.22025779683924,14.766142932797218,679.97565
47.220149931355856,14.766159941601217,679.5518,47.22025490683303,14.766127322074537,679.916
47.22014696565006,14.76614406614432,679.5061,47.22025201626895,14.766111711576157,679.86285
47.22014400113401,14.766128190178206,679.46387,47.220249125118215,14.766096101313652,679.7074
47.220141037890166,14.766112313667223,679.4255,47.220246233352135,14.766080491298627,679.67834
47.22013807600106,14.76609643657573,679.3595,47.22024334094196,14.766064881542649,679.67834
47.22013511554916,14.766080558868062,679.3386,47.22024044785893,14.76604927205731,679.66077
47.22013215661696,14.766064680508569,679.3246,47.22023755407435,14.766033662854202,679.65314
47.220129199286944,14.766048801461588,679.3246,47.220234659559445,14.766018053944896,679.6539
47.22012624364164,14.76603292169148,679.3164,47.22023176428551,14.76600244534099,679.66174
47.2201232897635,14.766017041162584,679.3132,47.220228868223806,14.76598683705406,679.58813
47.22012033773503,14.766001159839252,679.2806,47.22022597134557,14.7659712290957,679.6062
47.22011738763872,14.765985277685813,679.28235,47.22022307362211,14.765955621477488,679.6062
47.220114439557065,14.76596939466663,679.2863,47.22022017502464,14.76594001421101,679.6269
47.22011149357257,14.765953510746046,679.2916,47.22021727552447,14.76592440730786,679.6489
47.220108549767694,14.765937625888403,679.2916,47.22021437509283,14.765908800779608,679.6707
47.22010560822496,14.765921740058054,679.2977,47.220211473701,14.765893194637847,679.6132
47.22010266902687,14.76590585321934,679.30396,47.22020857132024,14.765877588894169,679.6297
47.22009973225587,14.765889965336608,679.2588,47.220205667921824,14.765861983560145,679.6297
47.22009679799062,14.765874076375848,679.26056,47.220202763477,14.76584637864737,679.64197
47.2200938661922,14.765858186353144,679.26086,47.22019985795835,14.765830774166895,679.64856
47.22009093668535,14.765842295342612,679.2592,47.220196951371314,14.765815170116555,679.6516
47.220088009287295,14.7658264034216,679.2592,47.22019404375596,14.765799566480243,679.57825
47.220085083815256,14.7658105106675,679.25684,47.22019113515394,14.7657839632412,679.5794
47.22008216008637,14.765794617157646,679.19965,47.22018822560695,14.765768360382658,679.5801
47.22007923791788,14.76577872296942,679.19824,47.22018531515666,14.765752757887874,679.5801
47.22007631712693,14.76576282818016,679.1974,47.22018240384477,14.765737155740077,679.5802
47.22007339753073,14.76574693286726,679.19714,47.22017949171293,14.765721553922498,679.5801
47.22007047894647,14.765731037108065,679.1973,47.22017657880285,14.765705952418394,679.5796
47.22006756119135,14.765715140979932,679.1973,47.22017366515619,14.765690351211,679.50714
