left_lat,left_long,left_elev,right_lat,right_long,right_elev
60.88136240504389,26.474077127921174,86.63929,60.88094840905041,26.47393906754679,89.42076
60.88135456968413,26.47407863829186,86.29276,60.88094104520773,26.47394374495853,89.42076
60.88134672882092,26.4740800521198,86.29276,60.88093370431088,26.473948558179057,89.71199
60.88133888286319,26.474081373888705,85.979546,60.88092638871694,26.473953513513944,89.71199
60.8813310322199,26.474082608082316,85.979546,60.88091910078303,26.473958617268828,89.51561
60.881323177299954,26.47408375918434,85.50799,60.88091184286622,26.47396387574927,89.79928
60.88131531851232,26.474084831678503,85.50799,60.88090461732363,26.473969295260872,89.79928
60.88130745626591,26.474085830048548,85.50799,60.88089742651237,26.473974882109253,89.90252
60.88129959096967,26.47408675877818,85.25372,60.88089027278952,26.473980642599983,89.90252
60.88129172303256,26.47408762235114,85.25372,60.88088315851219,26.473986583038677,89.90252
60.88128385286349,26.474088425251143,85.03601,60.88087608603751,26.473992709730915,90.01021
60.881275980871415,26.474089171961904,85.03601,60.88086905772257,26.473999028982316,90.01021
60.88126810746529,26.47408986696716,84.855446,60.88086207592449,26.474005547098447,90.01021
60.88126023305402,26.474090514750635,84.855446,60.88085514300036,26.47401227038492,90.109985
60.88125235804659,26.474091119796054,84.855446,60.880848261307335,26.47401920514733,90.109985
60.8812444828519,26.474091686587137,84.71262,60.88084143320251,26.47402635769128,90.25125
60.881236607878925,26.474092219607613,84.71262,60.880834661043,26.47403373432236,90.188736
60.8812287335366,26.4740927233412,84.60812,60.88082794718593,26.47404134134617,90.188736
60.88122086023385,26.474093202271632,84.60812,60.88082129398843,26.47404918506829,90.21261
60.88121298836841,26.47409366108393,84.60812,60.88081470378872,26.474057271710446,90.21261
60.881205118173646,26.474094107412423,84.542534,60.88080817721669,26.474065599909512,90.178856
60.88119724975819,26.47409455113001,84.542534,60.88080171185708,26.474074154782038,90.15354
60.8811893832275,26.474095002165363,84.51645,60.88079530497995,26.474082920047746,90.15354
60.88118151868712,26.4740954704472,84.51645,60.880788953855415,26.474091879426396,90.13067
60.88117365624251,26.474095965904187,84.530464,60.88078265575355,26.47410101663769,90.00997
60.88116579599921,26.474096498465038,84.530464,60.88077640794448,26.4741103154014,89.99078
60.88115793806269,26.47409707805841,84.530464,60.88077020769827,26.47411975943727,89.99078
60.8811500825385,26.47409771461301,84.58516,60.88076405228501,26.47412933246502,89.76306
60.88114222953209,26.474098418057523,84.58516,60.88075793897479,26.474139018204397,89.74422
60.881134379148975,26.474099198320644,84.68113,60.88075186503787,26.47414880037567,89.74422
60.88112653149467,26.474100065331054,84.68113,60.88074582952753,26.474158668204808,89.42593
60.88111868667468,26.47410102901745,84.81897,60.88073983767373,26.47416862999048,89.42593
60.8811108447945,26.47410209930851,84.608,60.88073389604312,26.474178698158504,89.40582
60.88110300595964,26.474103286132927,84.608,60.88072801120228,26.474188885134726,89.04499
60.88109517027559,26.474104599419395,84.811005,60.88072218971781,26.474199203344952,89.027626
60.881087337847845,26.4741060490966,84.811005,60.88071643815631,26.474209665215025,89.027626
60.88107950878193,26.474107645093223,85.08119,60.8807107630844,26.47422028317076,88.61461
60.88107168318335,26.47410939733797,85.08119,60.8807051710687,26.474231069637984,88.61461
60.88106386115758,26.474111315759504,85.40825,60.88069966867584,26.474242037042547,88.61099
60.881056042929465,26.47411341011415,85.40825,60.88069426247242,26.474253197810267,88.1853
60.88104823038146,26.47411568776268,85.40825,60.8806889583128,26.474264562619258,88.1853
60.88104042660994,26.474118154311675,85.78195,60.8806837570306,26.47427612982844,88.18779
60.88103263473919,26.474120815327485,85.62047,60.88067865730095,26.474287892500545,88.19723
60.88102485789344,26.47412367637646,86.043434,60.88067365779066,26.47429984367781,87.77171
60.88101709919694,26.47412674302494,86.043434,60.880668757166525,26.474311976402458,87.77309
60.88100936177392,26.474130020839265,86.043434,60.8806639540953,26.474324283716733,87.77765
60.88100164874867,26.4741335153858,86.49295,60.88065924724379,26.47433675866286,87.77765
60.88099396324542,26.47413723223087,86.49295,60.88065463527877,26.474349394283077,87.38305
60.88098630838845,26.474141176940822,86.848816,60.88065011686703,26.4743621836196,87.37667
60.880978687302,26.47414535508203,86.848816,60.880645690675344,26.474375119714665,87.37667
60.88097110311037,26.474149772220805,87.33415,60.88064135537048,26.47438819561052,87.36844
