left_lat,left_long,left_elev,right_lat,right_long,right_elev
47.21990190398765,14.764830201733847,678.2302,47.22001624090578,14.764846422178731,678.5016
47.2198989292041,14.764814078475622,678.2997,47.220013349569015,14.764830799235789,678.59106
47.21989596260037,14.764797951852888,678.2934,47.220010459009615,14.76481517597736,678.6804
47.21989300362106,14.76478182209925,678.3578,47.22000756921506,14.76479955240866,678.71704
47.21989005171078,14.76476568944832,678.42126,47.22000468017288,14.764783928534897,678.8
47.21988710631411,14.764749554133695,678.48236,47.22000179187052,14.76476830436127,678.87634
47.21988416687569,14.76473341638898,678.48236,47.21999890429546,14.764752679892991,678.87634
47.2198812328401,14.76471727644778,678.54,47.21999601743518,14.764737055135257,678.94366
47.219878303651946,14.764701134543696,678.5036,47.21999313127719,14.764721430093282,679.0
47.21987537875585,14.76468499091034,678.55334,47.219990245808965,14.764705804772264,678.98975
47.21987245759639,14.7646688457813,678.5999,47.21998736101798,14.764690179177416,679.0242
47.21986953961818,14.7646526993902,678.64355,47.219984476891725,14.764674553313933,679.0484
47.21986662426583,14.76463655197063,678.68445,47.219981593417664,14.764658927187025,679.0484
47.21986371098394,14.764620403756195,678.68445,47.21997871058332,14.764643300801898,679.06366
47.219860799217095,14.764604254980512,678.6588,47.21997582837614,14.764627674163762,679.0711
47.21985788840994,14.764588105877166,678.7024,47.21997294678364,14.764612047277817,679.0722
47.21985497800705,14.76457195667977,678.74457,47.21997006579328,14.764596420149266,679.02826
47.21985206745301,14.764555807621932,678.78516,47.21996718539256,14.76458079278332,679.02563
47.21984915619246,14.764539658937249,678.8244,47.219964305568936,14.764565165185182,679.02563
47.21984624366999,14.76452351085932,678.8623,47.21996142630992,14.764549537360056,679.0205
47.21984332933018,14.764507363621766,678.8987,47.21995854760299,14.764533909313142,679.01385
47.219840412617685,14.76449121745818,678.8817,47.21995566943562,14.764518281049655,679.0071
47.21983749297705,14.764475072602162,678.92334,47.2199527917953,14.764502652574798,678.9863
47.21983456985291,14.764458929287324,678.96277,47.21994991466952,14.764487023893777,678.9879
47.21983164268984,14.764442787747267,679.0,47.21994703804574,14.764471395011784,678.9922
47.21982871093248,14.764426648215595,679.032,47.21994416191149,14.764455765934049,678.9922
47.21982577402541,14.764410510925906,679.05615,47.2199412862542,14.764440136665751,679.0
47.219822831413225,14.764394376111817,679.08044,47.21993841106137,14.764424507212118,679.0091
47.21981988254054,14.764378244006924,679.0921,47.21993553632052,14.76440887757834,679.0164
47.21981692689347,14.764362114825962,679.0921,47.21993266201908,14.764393247769627,679.0307
47.21981396441681,14.764345988575409,679.0977,47.21992978814458,14.764377617791183,679.0362
47.2198109953401,14.764329865132362,679.098,47.21992691468448,14.764361987648218,679.0362
47.21980801989722,14.764313744372018,679.0938,47.21992404162626,14.764346357345932,679.0396
47.21980503832197,14.764297626169538,679.08984,47.219921168957406,14.764330726889536,679.04114
47.21980205084823,14.764281510400108,679.078,47.21991829666542,14.764315096284223,679.04095
