,left_long,left_lat,right_long,right_lat
78,26.482623803241605,60.88279226770268,26.482753689861415,60.88290621877563
79,26.482611280456286,60.882796791990195,26.48274079954733,60.882910981751834
80,26.48259875323822,60.882801313929356,26.48272790802789,60.8829157437602
81,26.482586223586736,60.88280583482235,26.482715015304183,60.88292050479326
82,26.482573693501177,60.88281035597134,26.48270212137732,60.882925264843664
83,26.48256116498087,60.88281487867848,26.482689226248397,60.88293002390394
84,26.482548640025147,60.882819404245936,26.482676329918515,60.88293478196666
85,26.482536120633352,60.88282393397587,26.482663432388772,60.88293953902443
86,26.482523608804808,60.88282846917044,26.482650533660284,60.882944295069834
87,26.48251110646567,60.88283301108053,26.482637633735457,60.882949050097196
88,26.482498614561965,60.88283756026956,26.482624732661023,60.88295380416081
89,26.482486133340203,60.88284211681054,26.48261183053739,60.88295855738756
90,26.482473663031758,60.88284668076576,26.482598927468203,60.88296330990867
91,26.482461203868034,60.88285125219758,26.4825860235571,60.8829680618554
92,26.482448756080426,60.882855831168385,26.48257311890772,60.882972813358975
93,26.482436319900323,60.88286041774045,26.482560213623707,60.882977564550636
94,26.48242389555913,60.88286501197617,26.482547307808698,60.88298231556162
95,26.48241148328823,60.88286961393788,26.482534401566344,60.88298706652319
96,26.48239908331902,60.8828742236879,26.482521495000263,60.882991817566555
97,26.4823866958829,60.88287884128858,26.482508588214127,60.882996568822975
98,26.482374321211267,60.882883466802284,26.482495681311548,60.88300132042367
99,26.482361959535503,60.88288810029134,26.482482774396175,60.883006072499896
100,26.482349611087006,60.882892741818075,26.482469867571655,60.8830108251829
101,26.482337276097184,60.88289739144488,26.48245696094163,60.8830155786039
102,26.482324954797416,60.88290204923405,26.482444054609733,60.88302033289414
103,26.482312647419107,60.88290671524796,26.4824311486796,60.883025088184866
104,26.482300354193644,60.88291138954896,26.482418243254887,60.883029844607336
105,26.48228807535242,60.88291607219935,26.48240533843923,60.88303460229274
106,26.482275811126847,60.88292076326151,26.48239243433626,60.88303936137237
107,26.48226356174829,60.88292546279776,26.48237953104962,60.88304412197742
108,26.48225132744817,60.88293017087045,26.482366628682954,60.883048884239145
